stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_2,full_loss_3,w0.bias,0.9,0.999,0.01,1e-08,5.7421596366680205e-09,8.67485923095046e-08,2.9802322387695312e-08,1.734015961634825,0.010869258607138332,33.51988845713917,1775855670.0124693
full_loss_2,full_loss_3,w1.weight,0.9,0.999,0.01,1e-08,0.003739397507160902,0.06370875239372253,0.01582375355064869,2.1268390874895564,0.007858283014951103,40.69741259432682,1775855670.0128498
full_loss_2,full_loss_3,w1.bias,0.9,0.999,0.01,1e-08,1.798210469416972e-08,2.690422888917965e-07,1.341104507446289e-07,1.2067496201774484,0.01577094491157399,28.70265264040846,1775855670.0130045
full_loss_2,full_loss_3,w2.weight,0.9,0.999,0.01,1e-08,0.0054024565033614635,0.09651679545640945,0.025239044800400734,1.9264638940517562,0.008273461996579665,41.3018544142346,1775855670.0133283
full_loss_2,full_loss_3,w2.bias,0.9,0.999,0.01,1e-08,4.421836763413012e-08,6.344286589410331e-07,2.980232238769531e-07,1.335345508261373,0.014862226877124326,28.79825499740203,1775855670.0134995
full_loss_2,full_loss_3,w3.weight,0.9,0.999,0.01,1e-08,0.006745520513504744,0.15865980088710785,0.043114349246025085,1.4081085689987936,0.008597500036653945,48.300513646502665,1775855670.0138311
full_loss_2,full_loss_3,w3.bias,0.9,0.999,0.01,1e-08,1.0681161910497394e-07,1.8888981685449835e-06,8.344650268554688e-07,1.1519996512827064,0.013977085447530778,33.24024406378256,1775855670.0139432
full_loss_2,full_loss_3,bn0.weight,0.9,0.999,0.01,1e-08,0.018440986052155495,0.23442241549491882,0.09014786034822464,1.8410739181878648,0.012166720813008422,28.92969957942514,1775855670.0140593
full_loss_2,full_loss_3,bn0.bias,0.9,0.999,0.01,1e-08,0.015193893574178219,0.20176249742507935,0.07243931293487549,1.8877186520067222,0.01135928859526948,30.485546716817865,1775855670.014171
full_loss_2,full_loss_3,bn1.weight,0.9,0.999,0.01,1e-08,0.016910407692193985,0.24570611119270325,0.12692135572433472,1.1991178975357146,0.016343158775095592,27.82373872541536,1775855670.0143282
full_loss_2,full_loss_3,bn1.bias,0.9,0.999,0.01,1e-08,0.015367825515568256,0.21301130950450897,0.13274595141410828,1.041918251861448,0.01971677489503049,24.838523162981083,1775855670.0144348
full_loss_2,full_loss_3,bn2.weight,0.9,0.999,0.01,1e-08,0.01731836423277855,0.34217604994773865,0.13693851232528687,1.1382136073132065,0.012661735961110268,36.936492956939276,1775855670.014588
full_loss_2,full_loss_3,bn2.bias,0.9,0.999,0.01,1e-08,0.02698112465441227,0.37078481912612915,0.17000123858451843,1.4284020746563901,0.014505990767563396,28.387817705858716,1775855670.014697
full_loss_2,full_loss_3,bn3.weight,0.9,0.999,0.01,1e-08,0.06045123562216759,0.7778757810592651,0.3324333727359772,1.636601993717316,0.013521087448231795,28.050706369503544,1775855670.0148208
full_loss_2,full_loss_3,bn3.bias,0.9,0.999,0.01,1e-08,0.0548173151910305,0.8496594429016113,0.4271073639392853,1.1551096477658758,0.01590411204999349,29.175694439842104,1775855670.0149288
full_loss_2,full_loss_3,fc1.weight,0.9,0.999,0.01,1e-08,0.01712694577872753,0.39755672216415405,0.10183985531330109,1.5135774843044385,0.008104681048653124,49.087599397813804,1775855670.0154188
full_loss_2,full_loss_3,fc1.bias,0.9,0.999,0.01,1e-08,0.01727895624935627,0.4571034610271454,0.10695934295654297,1.4539226022165797,0.007403233931569052,55.044973378574696,1775855670.0155463
full_loss_2,full_loss_3,fc2.weight,0.9,0.999,0.01,1e-08,0.7082592844963074,11.751731872558594,5.55020809173584,1.1484855081302063,0.014942547604868866,31.148914972213138,1775855670.015669
full_loss_2,full_loss_3,fc2.bias,0.9,0.999,0.01,1e-08,0.7158949375152588,16.418731689453125,10.656009674072266,0.6046404455988513,0.02053393846383016,30.34939298567987,1775855670.015777
