stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_2,full_loss_3,conv1.w1.bias,0.9,0.999,9.5367431640625e-09,1e-08,2.2938199950583993e-10,1.7452242673243745e-07,1.2369127944111824e-09,1.6676764347803004,0.00022423458956102293,1524.811001370643,1783154856.9050605
full_loss_2,full_loss_3,conv1.w2.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.0010975624900311232,0.045154869556427,0.01266387291252613,0.7800190729748614,0.008873178278761178,63.31347207973832,1783154856.9053452
full_loss_2,full_loss_3,conv1.w2.bias,0.9,0.999,9.5367431640625e-09,1e-08,2.3343765809258343e-10,1.590318703392768e-07,1.3387762010097504e-09,1.5681267671793504,0.0002663411937001154,1338.2829058077475,1783154856.90548
full_loss_2,full_loss_3,conv1.w3.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.0012280949158594012,0.04717446118593216,0.015429205261170864,0.7163592715843806,0.010347939099022228,56.303828977968585,1783154856.9057622
full_loss_2,full_loss_3,conv1.w3.bias,0.9,0.999,9.5367431640625e-09,1e-08,3.0170943521312665e-10,2.1155680940410093e-07,1.6880221664905548e-09,1.6076668327924666,0.00025244474797769844,1416.7765287252023,1783154856.9058702
full_loss_2,full_loss_3,conv1.bn0.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.0029347259551286697,0.07839883863925934,0.04553665593266487,0.5800279588961091,0.018376752269951894,34.440263482097876,1783154856.9059799
full_loss_2,full_loss_3,conv1.bn0.bias,0.9,0.999,9.5367431640625e-09,1e-08,0.002520982176065445,0.06005128100514412,0.029278166592121124,0.7749405862701707,0.015425486049188631,36.52391469795971,1783154856.906085
full_loss_2,full_loss_3,conv1.bn1.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.003300529206171632,0.0756424143910408,0.05306355655193329,0.5597959274726121,0.02219464630134455,28.885772589589887,1783154856.9061928
full_loss_2,full_loss_3,conv1.bn1.bias,0.9,0.999,9.5367431640625e-09,1e-08,0.0035493250470608473,0.06144701689481735,0.05572789907455444,0.5732124475074664,0.028693869757086148,22.15253858992361,1783154856.9062974
full_loss_2,full_loss_3,conv1.bn2.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.003263612976297736,0.06447772681713104,0.045016154646873474,0.6524883570451118,0.022088993739719377,27.395905392745014,1783154856.9064093
full_loss_2,full_loss_3,conv1.bn2.bias,0.9,0.999,9.5367431640625e-09,1e-08,0.0030530758667737246,0.05208815634250641,0.03447272256016731,0.79708478934926,0.020938899582444413,26.575263253667828,1783154856.906513
full_loss_2,full_loss_3,conv1.bn3.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.006033314857631922,0.12258235365152359,0.0570022352039814,0.9525913066991814,0.014712320794282533,34.810275580146985,1783154856.906619
full_loss_2,full_loss_3,conv1.bn3.bias,0.9,0.999,9.5367431640625e-09,1e-08,0.006593032274395227,0.1148703545331955,0.12077569961547852,0.49130156693756905,0.0332651017597141,20.157917745960034,1783154856.9067223
full_loss_2,full_loss_3,conv1.fc1.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.0016726227477192879,0.06562621146440506,0.02806157059967518,0.5364491155427842,0.013528570121251809,48.109397497579984,1783154856.9071755
full_loss_2,full_loss_3,conv1.fc1.bias,0.9,0.999,9.5367431640625e-09,1e-08,0.002557495143264532,0.05930599197745323,0.028446847572922707,0.8091390875409672,0.015175843073665518,36.42295802405277,1783154856.9072971
full_loss_2,full_loss_3,conv1.fc2.weight,0.9,0.999,9.5367431640625e-09,1e-08,0.008715668693184853,0.34857243299484253,0.22188973426818848,0.3535135074951324,0.020140090984433492,36.68394022892318,1783154856.9074311
full_loss_2,full_loss_3,conv1.fc2.bias,0.9,0.999,9.5367431640625e-09,1e-08,0.028199851512908936,0.4777953624725342,0.3008728325366974,0.8435413110433664,0.019923163564452243,27.226312524298432,1783154856.9075644
