stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_2,full_loss_3,bn0.bias,0.9,0.999,0.01,1e-08,0.002861359156668186,0.031951893121004105,0.026250068098306656,0.981034880084516,0.0259926821126779,19.42033779275468,1775828744.59561
full_loss_2,full_loss_3,bn1.weight,0.9,0.999,0.01,1e-08,0.003703158814460039,0.03675214946269989,0.03911978006362915,0.8519585047533244,0.03367680764372433,16.033850510401244,1775828744.5957117
full_loss_2,full_loss_3,bn1.bias,0.9,0.999,0.01,1e-08,0.004268735181540251,0.033315517008304596,0.035950906574726105,1.0686411079213882,0.03414133862450365,14.159056095591996,1775828744.5958095
full_loss_2,full_loss_3,bn2.weight,0.9,0.999,0.01,1e-08,0.005273096729069948,0.04982379823923111,0.04822941869497299,0.9840025412869455,0.030626153231773593,16.45755531096938,1775828744.5959136
full_loss_2,full_loss_3,bn2.bias,0.9,0.999,0.01,1e-08,0.006343397311866283,0.0503779835999012,0.03841831162571907,1.4860251111892009,0.024127634769811196,16.671694262791867,1775828744.596009
full_loss_2,full_loss_3,bn3.weight,0.9,0.999,0.01,1e-08,0.012670951895415783,0.14960169792175293,0.1299353688955307,0.877656084153288,0.027479455119982392,19.38098447198395,1775828744.5961056
full_loss_2,full_loss_3,bn3.bias,0.9,0.999,0.01,1e-08,0.01684321090579033,0.1597871482372284,0.08012765645980835,1.891842403081605,0.01586564932334171,21.795534658780003,1775828744.5961995
full_loss_2,full_loss_3,fc1.weight,0.9,0.999,0.01,1e-08,0.0033573091495782137,0.04931773245334625,0.02664390578866005,1.1340597953146216,0.017092754106104016,27.414565599557445,1775828744.5966334
full_loss_2,full_loss_3,fc1.bias,0.9,0.999,0.01,1e-08,0.005201219115406275,0.07179882377386093,0.043504536151885986,1.076002094911456,0.019170545406866,25.12683235637605,1775828744.5967455
full_loss_2,full_loss_3,fc2.weight,0.9,0.999,0.01,1e-08,0.08674422651529312,3.214399814605713,1.542120337486267,0.5062497521495039,0.015178736655453683,43.73885252512248,1775828744.5969236
full_loss_2,full_loss_3,fc2.bias,0.9,0.999,0.01,1e-08,0.5561486482620239,11.688313484191895,2.220193862915039,2.254459810002413,0.006009748569105198,51.128704008866684,1775828744.5970407
full_loss_1,full_loss_2,fc0.weight,0.9,0.999,0.01,1e-08,0.003284374950453639,0.46895429491996765,0.0858212485909462,0.34442955607216286,0.0057900400378596605,128.4636864225907,1775830407.5309484
full_loss_1,full_loss_2,fc0.bias,0.9,0.999,0.01,1e-08,3.187030233675614e-05,0.0009436291875317693,1.467391848564148e-05,19.547110184942266,0.0004919964759087182,98.92060731780933,1775830407.5310743
full_loss_1,full_loss_2,conv0.weights1,0.9,0.999,0.01,1e-08,5.657647852785885e-05,0.03962539881467819,0.0003967262164223939,1.2834753146868478,0.00031676304566972464,1382.5123408053778,1775830407.538348
full_loss_1,full_loss_2,conv1.weights1,0.9,0.999,0.01,1e-08,0.00017827308329287916,0.03133678436279297,0.0013715513050556183,1.1698124179182912,0.0013847611938154682,332.8149901008658,1775830407.5457609
full_loss_1,full_loss_2,conv2.weights1,0.9,0.999,0.01,1e-08,0.0002650993992574513,0.021724015474319458,0.0020040725357830524,1.1905230721573146,0.002918707598920543,156.40893105207311,1775830407.553274
full_loss_1,full_loss_2,conv3.weights1,0.9,0.999,0.01,1e-08,0.00021933404786977917,0.01619676500558853,0.0014850252773612738,1.32927463228527,0.0029008336239338722,147.99820309032356,1775830407.5606132
full_loss_1,full_loss_2,w0.weight,0.9,0.999,0.01,1e-08,0.0012285604607313871,0.20180760324001312,0.013140547089278698,0.8414447336642799,0.002060123130157061,263.60165157589535,1775830407.5611303
full_loss_1,full_loss_2,w0.bias,0.9,0.999,0.01,1e-08,3.408610949051649e-09,1.3593182757176692e-06,2.2351741790771484e-08,1.3724266503239575,0.0005202440863523435,805.3902535736751,1775830407.5613413
full_loss_1,full_loss_2,w1.weight,0.9,0.999,0.01,1e-08,0.0026693232357501984,0.340006560087204,0.028245659545063972,0.8505345425753926,0.0026283408174580976,205.59905852328976,1775830407.5616884
full_loss_1,full_loss_2,w1.bias,0.9,0.999,0.01,1e-08,1.0772643221912404e-08,1.4545391877618385e-06,9.685754776000977e-08,1.00098330234558,0.002106808201402675,236.8214110631354,1775830407.5618486
full_loss_1,full_loss_2,w2.weight,0.9,0.999,0.01,1e-08,0.00400889664888382,0.2569332420825958,0.03702859207987785,0.9743840587065339,0.004559677831623754,111.07957361220642,1775830407.5621448
full_loss_1,full_loss_2,w2.bias,0.9,0.999,0.01,1e-08,2.458364534163593e-08,1.219149567077693e-06,1.9371509552001953e-07,1.1421498429481722,0.0050271677339935,92.7885518012685,1775830407.5622633
